Genre,Word1,Freq1,Word2,Freq2,Word3,Freq3,Word4,Freq4,Word5,Freq5,Word6,Freq6,Word7,Freq7,Word8,Freq8,Word9,Freq9,Word10,Freq10,Word11,Freq11,Word12,Freq12,Word13,Freq13,Word14,Freq14,Word15,Freq15
Adventure,এক,491,করে,404,থেকে,361,আর,334,তার,311,এই,260,কিন্তু,200,একটা,197,এবং,192,করতে,172,আছে,163,তিন,161,হবে,159,সেই,153,রানা,147
Biography and Autobiography,এই,7773,এবং,6355,তিনি,6264,করে,6255,তাঁর,5892,থেকে,5171,তার,4503,এক,3964,এর,3804,আর,3329,জন্য,3203,একটি,2980,আমাদের,2902,করেছেন,2843,সেই,2768
Classic Novel,করে,1572,তার,1371,এই,1350,এক,1082,আর,1056,থেকে,895,আমার,774,এবং,716,কিন্তু,693,আমি,619,হয়,614,একটি,586,সেই,582,উপন্যাস,539,কথা,531
Classic Story,গল্প,873,এই,693,করে,638,তার,540,এক,484,আর,453,থেকে,372,এবং,339,গল্পের,324,আছে,283,আমার,262,জীবনের,260,মানুষের,259,একটি,254,তিনি,254
Contemporary Novel,করে,6746,তার,5985,এই,5265,এক,4520,আর,4509,থেকে,3735,হয়,2771,হয়ে,2681,আমার,2498,কিন্তু,2489,সেই,2420,আছে,2250,একটা,2248,আমি,2237,যায়,2179
Contemporary Story,গল্প,3123,করে,2621,এই,2367,তার,1736,আর,1638,এক,1547,থেকে,1479,গল্পের,1456,আমার,1410,জীবনের,1259,এবং,1234,হয়,1087,কিছু,1036,আমি,1027,মানুষের,1016
"Cooking, Food and Nutrition",রান্না,438,এই,357,রান্নার,329,করে,303,খাবার,229,চিকেন,225,করা,222,থেকে,204,ইলিশ,199,এবং,195,রেসিপি,191,ভর্তা,190,পিঠা,178,মাছের,169,আর,165
History and Tradition,এই,4809,এবং,4253,করে,3973,ইতিহাস,3396,থেকে,3340,একটি,2227,এর,2119,ছিল,2078,করা,2077,হয়েছে,1964,এক,1953,তার,1779,আর,1708,সেই,1634,আমাদের,1583
Math,গণিত,831,গণিতের,504,এই,501,করে,398,এবং,351,করা,333,বইটি,321,জন্য,299,থেকে,272,সমাধান,271,সমস্যা,258,করতে,246,একটি,239,কিছু,230,সংখ্যা,225
Mystery,এক,851,করে,842,এই,821,আর,654,তার,650,থেকে,572,রহস্য,499,কিন্তু,459,সেই,414,আছে,351,একটা,351,করতে,338,এবং,337,একটি,304,এর,267
Philosophy,এবং,1150,এই,1116,করে,929,থেকে,649,করা,583,দর্শন,538,তার,536,একটি,497,হয়েছে,473,এর,454,জন্য,424,তিনি,399,এক,396,আমাদের,392,তাঁর,373
Politics,এই,1157,এবং,1110,করে,1067,থেকে,734,একটি,634,তিনি,590,করা,583,রাজনৈতিক,561,তার,548,শেখ,535,এর,516,বাংলাদেশের,487,জন্য,481,তাঁর,439,হয়েছে,434
Religious,করে,3904,এবং,3412,করা,2988,থেকে,2901,এই,2887,জন্য,2424,এর,2349,তার,2213,আমাদের,1892,আর,1701,একটি,1673,আল্লাহ,1602,হবে,1529,করতে,1504,কিছু,1425
Sciene Fiction,করে,1208,তার,971,এই,919,এক,898,আর,854,থেকে,817,করতে,528,কিন্তু,481,একটা,455,এবং,443,আছে,431,একটি,402,সেই,395,হবে,390,তাদের,369
Shishu Kishor,করে,1154,তার,908,আর,834,এই,727,এক,597,থেকে,592,কিন্তু,448,একটা,439,কথা,433,আমার,408,হয়,391,আছে,386,হয়ে,377,সেই,367,যায়,365
Thriller,এক,1708,করে,1323,তার,1316,এই,1255,আর,1018,থেকে,916,কিন্তু,747,করতে,641,একটা,579,হয়ে,579,সেই,568,আছে,552,সাথে,539,এবং,535,হয়,505
